epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1945.73,0.54835,0.2308,0.00209,0.88835,0.88551,0.90454,0.71371,0.68927,0.48848,0.00355,0.000330676,0.000330676,0.000330676
140,1959.25,0.55804,0.23642,0.00208,0.88042,0.88402,0.89887,0.71122,0.6707,0.51482,0.00343,0.000329775,0.000329775,0.000329775
141,1972.96,0.54643,0.24112,0.00209,0.87758,0.87746,0.88706,0.70631,0.674,0.52187,0.00347,0.000328874,0.000328874,0.000328874
142,1987.33,0.53529,0.22526,0.00202,0.88846,0.88444,0.90212,0.71552,0.68349,0.50687,0.00352,0.000327973,0.000327973,0.000327973
143,2000.84,0.54302,0.23614,0.00206,0.88635,0.88048,0.88861,0.69978,0.69221,0.53161,0.00359,0.000327072,0.000327072,0.000327072
144,2015.09,0.5299,0.21996,0.00201,0.90033,0.89234,0.91283,0.7247,0.68625,0.49998,0.00356,0.000326171,0.000326171,0.000326171
145,2028.6,0.55315,0.22677,0.00211,0.90726,0.87852,0.90355,0.71029,0.69524,0.52338,0.00359,0.00032527,0.00032527,0.00032527
146,2042.11,0.52885,0.22137,0.002,0.89831,0.88485,0.89623,0.70997,0.68554,0.52775,0.00354,0.000324369,0.000324369,0.000324369
147,2055.74,0.54131,0.22676,0.00206,0.89708,0.89584,0.90393,0.71673,0.6791,0.47996,0.0035,0.000323469,0.000323469,0.000323469
148,2069.51,0.54759,0.2279,0.00208,0.88763,0.88239,0.90108,0.70774,0.69456,0.51048,0.0036,0.000322568,0.000322568,0.000322568
149,2083.22,0.52734,0.21773,0.00195,0.91349,0.88217,0.91032,0.72202,0.69172,0.51186,0.00363,0.000321667,0.000321667,0.000321667
150,2096.93,0.53479,0.22374,0.00201,0.89319,0.88419,0.90087,0.71601,0.67391,0.52214,0.00349,0.000320766,0.000320766,0.000320766
151,2110.66,0.5296,0.22421,0.002,0.90018,0.87762,0.89937,0.71407,0.67178,0.53495,0.00346,0.000319865,0.000319865,0.000319865
152,2124.2,0.52717,0.21044,0.00199,0.90177,0.86811,0.89468,0.71191,0.68259,0.53551,0.00354,0.000318964,0.000318964,0.000318964
153,2138.03,0.534,0.22804,0.00201,0.89686,0.89821,0.90554,0.71581,0.68155,0.52262,0.00353,0.000318063,0.000318063,0.000318063
154,2151.74,0.53504,0.21654,0.00198,0.90839,0.87817,0.90074,0.71353,0.68464,0.50292,0.00356,0.000317162,0.000317162,0.000317162
155,2165.51,0.53151,0.22252,0.00198,0.89265,0.88262,0.90063,0.71661,0.6726,0.51072,0.0035,0.000316261,0.000316261,0.000316261
156,2179.12,0.52876,0.22261,0.002,0.89894,0.87572,0.89831,0.71231,0.68979,0.54739,0.00358,0.00031536,0.00031536,0.00031536
157,2192.99,0.52431,0.22655,0.00204,0.88538,0.86977,0.89194,0.70768,0.68536,0.56162,0.00355,0.00031446,0.00031446,0.00031446
158,2206.63,0.52264,0.21035,0.00197,0.90107,0.86042,0.89391,0.71235,0.6727,0.54666,0.00346,0.000313559,0.000313559,0.000313559
159,2220.3,0.52742,0.21843,0.00203,0.89958,0.88765,0.9002,0.70697,0.68757,0.51335,0.00355,0.000312658,0.000312658,0.000312658
